112	4	108600000	108700000	1
113	4	142900000	143000000	1
114	4	152800000	152900000	1
115	4	153500000	153600000	1
116	5	3300000	3400000	1
117	5	11500000	11600000	1
118	5	20700000	20800000	1
119	5	24600000	24700000	1
120	5	54700000	54800000	1
121	5	57200000	57300000	1
122	5	108900000	109000000	1
123	5	125600000	125700000	1
124	5	145700000	145800000	1
125	5	165500000	165600000	1
126	5	165900000	166000000	1
127	6	32200000	32300000	1
128	6	35000000	35100000	1
129	6	40800000	40900000	1
130	6	81300000	81400000	1
131	6	84900000	85000000	1
132	6	167200000	167300000	1
133	7	1900000	2000000	1
134	7	8200000	8300000	1
135	7	8500000	8600000	1
136	7	12100000	12200000	1
137	7	14400000	14500000	1
138	7	16800000	16900000	1
139	7	19400000	19500000	1
140	7	21200000	21300000	1
141	7	73500000	73600000	1
142	7	78800000	78900000	1
143	7	98000000	98100000	1
144	7	135400000	135500000	1
145	7	137600000	137700000	1
146	7	147500000	147600000	1
147	8	17600000	17700000	1
148	8	18600000	18700000	1
149	8	24100000	24200000	1
150	8	33800000	33900000	1
151	8	108500000	108600000	1
152	8	116700000	116800000	1
153	9	900000	1000000	1
154	9	14500000	14600000	1
155	9	27800000	27900000	1
156	9	32600000	32700000	1
157	9	32900000	33000000	1
158	9	79400000	79500000	1
159	9	87900000	88000000	1
160	9	114700000	114800000	1
161	9	123400000	123500000	1
162	10	44400000	44500000	1
163	10	80500000	80600000	1
164	10	90000000	90100000	1
165	10	108200000	108300000	1
166	10	119900000	120000000	1
167	10	120800000	120900000	1
168	10	121900000	122000000	1
169	10	128800000	128900000	1
170	10	131200000	131300000	1
171	11	20400000	20500000	1
172	11	20700000	20800000	1
173	11	22600000	22700000	1
174	11	34200000	34300000	1
175	11	59200000	59300000	1
176	11	67400000	67500000	1
177	11	76800000	76900000	1
178	11	84900000	85000000	1
179	11	88400000	88500000	1
180	11	102400000	102500000	1
181	11	104700000	104800000	1
182	11	130000000	130100000	1
183	12	4900000	5000000	1
184	12	76300000	76400000	1
185	12	81500000	81600000	1
186	12	109600000	109700000	1
187	13	21500000	21600000	1
188	13	22600000	22700000	1
189	13	67900000	68000000	1
190	13	72000000	72100000	1
191	13	83200000	83300000	1
192	13	93800000	93900000	1
193	14	85500000	85600000	1
194	14	100900000	101000000	1
195	15	72600000	72700000	1
196	15	95700000	95800000	1
197	15	97200000	97300000	1
198	16	7800000	7900000	1
199	16	80100000	80200000	1
200	17	77400000	77500000	1
201	18	10300000	10400000	1
202	18	20400000	20500000	1
203	18	20600000	20700000	1
204	18	23500000	23600000	1
205	18	36900000	37000000	1
206	18	71200000	71300000	1
207	19	11300000	11400000	1
208	19	11500000	11600000	1
209	19	18900000	19000000	1
210	19	29600000	29700000	1
211	19	49100000	49200000	1
212	20	13800000	13900000	1
213	20	21300000	21400000	1
214	20	48300000	48400000	1
215	21	21100000	21200000	1
216	21	26600000	26700000	1
217	21	30500000	30600000	1
218	22	31900000	32000000	1
219	22	35700000	35800000	1
220	22	37000000	37100000	1
